,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
As rãs arborícolas são um tipo de anfíbio?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Velvet Goldmine?,408,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408
Liste todos os jogos da GMT.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Isar desemboca em um lago?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que aeroportos a Yeti Airlines serve?,17433,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433
Que empresa indiana tem o maior número de empregados?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que cor expressa a lealdade?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a cidade com maior população?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem criou a Wikipedia?,11273,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273,11273
Rita Wilson é a esposa de Tom Hanks?,19602,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602,19602
A esposa do presidente Obama chama-se Michelle?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos grupos étnicos vivem na Eslovênia?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o presidente da Eritrea?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que filmes Stanley Kubrick dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando o Titanic foi completado?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas páginas tem Guerra e Paz?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o jogador mais jovem da Premier League?,11412,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412,11412
Qual a montanha mais alta da Itália?,14111,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111,14111
Qual a altura de Claudia Schiffer?,20412,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412,20412
Quem foi o vice presidente de John F. Kennedy?,21764,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764
Que subsidiária da Lufthansa atende Dortmund e Berlin?,1614,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
Quem foi o sucessor de John F. Kennedy?,19819,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819,19819
Quem compôs a trilha sonora do Titanic de Cameron?,20988,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988,20988
Quais filmes Kurosawa dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Para qual gravadora Elvis gravou seu primeiro álbum?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que fuso horário está Roma?,13610,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610,13610
Qual a moeda da China?,26973,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973
Quem são os desenvolvedores do DBPedia?,8163,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163,8163
O local onde Abraham Lincoln morreu tem um website?,21010,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010
Quem é o rei da Holanda?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que cidade Nikos Kazantzakis morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foi o pai da Rainha Elizabeth II?,20864,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864
Liste todas as aves que correm perigo de extinção.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos habitantes tem a maior cidade do Canadá?,35017,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017,35017
De quais conflitos militares Lawrence da Arábia participou?,18434,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434,18434
Qual o livro com maior número de páginas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Nilo?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o piloto de Fórmula 1 com mais corridas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que companhias produzem aerodeslizadores?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elvis Presley teve filhos?,21053,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053,21053
Em que cidade o presidente de Montenegro nasceu?,38271,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271,38271
Em que país Bill Gates nasceu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país se fala japonês?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre me o livro que Muhammad Ali escreveu.,38223,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223,38223
Michelle Obama é a esposa de Barack Obama?,19704,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704
Qual é o código de área de Berlin?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os atores que atuaram em Last Action Hero.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais são os apelidos de San Francisco?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual foi o primeiro álbum do Queen?,34443,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443,34443
Por quais países o rio Yenisei passa?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais séries de televisão foram criadas por Walt Disney?,24271,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271
Qual a ponte mais comprida?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país é a Sitecore,28370,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370,28370
Com quem Lance Bass casou-se?,1154,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
Qual a capital do Canadá?,25284,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284
Em quem Vincent van Gogh inspirou-se?,97,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Em que cidade John F. Kennedy morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O presidente Jackson dos EUA envolveu-se em uma guerra?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu o tema do Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem projetou a Ponte do Brooklin?,1254,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
Quando Boris Becker encerrou sua carreira?,12773,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773,12773
Que tipos de uvas crescem no Oregon?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura de Michael Jordan?,20453,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453,20453
A que partido o prefeito de Paris pertence?,33806,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806,33806
Quem escreveu o livro Os Pilares da Terra?,10053,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053,10053
Quem foi o 16o presidente dos Estados Unidos?,37136,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136,37136
Qual a altura do Monte Everest?,20467,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467,20467
Quem foi o orientador do doutorado de Albert Einstein?,14739,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739
Em que cidade Sylvester Stallone mora?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a moeda da República Tcheca?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sócrates influenciou Aristóteles?,3159,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159
Qual o fuso horário de Salt Lake City?,1923,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
Quem é o filho de Sonny e Cher?,27933,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933
Em que cidade está a sede das Nações Unidas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o fundador da Penquin Books?,14291,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291,14291
Quando foi fundada a Jack Wolfskin?,5377,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377
Quem é o prefeito de Rotterdam?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os oceanógrafos suecos.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre-me a autobiografia de Hemingway.,2608,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608
Quem são os pais da esposa de Juan Carlos I?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tesla ganhou um Prêmio Nobel de Física?,388,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
Quem é o jogador de basquete mais alto?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual cidade tem menos habitantes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
A proinsulina é uma proteína?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foram os pais da Rainha Victoria?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Che Guevara teve filhos?,20610,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610,20610
O lago Baikal é maior do que o lago Great Bear?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kaurismäki alguma vez venceu o Grand Prix de Cannes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os livros de William Goldman com mais de 300 páginas.,28532,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532,28532
Onde está localizado o Fort Knox?,10031,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031
Em que estado dos EUA fica o Fort Knox?,32,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Onde está enterrado Syngman Rhee?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o fuso horário de São Pedro de Atacama?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791,10791
Mostre-me todos os livros de Asimov da série Fundação.,28601,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601,28601
Liste todas as cidades em New Jersey com mais de 100000 habitantes.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que museu de Nova York tem mais visitantes?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura da torre Yokohama Marine?,20348,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348,20348
A nova série Battlestar Galactica tem mais episódios do que a anterior?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
