,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quantas lojas Aldi existem?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a capital de Camarões?,3089895080,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3187231189,3086609173,3172132827,3197634573,3128436403,3123551903,3260715622,3536744310,3213546479,3111165916,3133564499,3199035460,3122931266,3181137573,3338578879,3230093707,3115584138,3163039147,3125416671,3133794469,3141231483,3129621767,3186376700,3061187250
Há algum jogo eletrônico chamado Battle Chess?,20181562688,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2024078647,1994902565,2038836847,2151407720,2078775393,2082758432,2008620332,2032273720,2101605762,1940437641,2124169581,2013150943,2066427274,2001150021,2106359362,2053520609,2142323546,2186120875,2261806254,2208242877,2353596892,2351984141,2850168985,2794145609
A esposa do Presidente Lincoln chamava-se Mary?,40872088350,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,26513851754,27243242729,26732912084,26561357808,26714975220,26531124411,26890646620,26279027037,26596279595,26349600348,26800611318,27087191767,26956404709,26495429325,26443598379,26314420396,26528546461,26538800255,26777217795,26557064373,26790501388,26481744750,26350799760,26338897377
Encontre todos os filmes dirigidos por Francis Ford Coppola.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1471718803,1474536047,1547220399,1522539646,1466852445,1544969159,1583527016,1486256255,1548262708,1563583881,1559255783,1590823705,1661158906,1592876464,1798296375,1779574735,1949953105,1944620390,2193314852,2126135092,2451660524,2466789809,2842948171,2956823641
Qual filme de Tim Burton teve o maior orçamento?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1327472465,1436487985,1372642450,1390372700,1374322361,1320081772,1387752845,1398444610,1488648191,1395928933,1463479546,1493073112,1455541507,1382639289,1498842683,1457454761,1493671505,1509706430,1526861810,1541959070,1586742111,1596004158,1726046591,1707739910
Breaking Bad tem mais episódios do que Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem era chamado de Rodzilla?,4759605131,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1063644273,1083147321,1039419646,1047650843,1076604995,1109147571,1067993036,1089537799,1064348345,1008622772,1043344015,1062484971,1092657162,1088312380,1079317681,1061571959,1079958726,1093326134,1060862979,1116388755,1039301567,1064883440,1087985629,1078850314
Natalie Portman nasceu nos Estados Unidos?,45115372992,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1363451333,1332596250,1335290736,1344612286,1324008059,1288760446,1440741034,1340741409,1390663521,1401363445,1402098179,1371490867,1408443868,1415756481,1566531530,1607607247,1627817133,1646336814,1701937198,1735238607,2046488891,2166644131,2158755842,2422349822
Mostre os netos de Elvis Presley.,75517679150,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,34450487603,34376262289,34382091019,34175400941,34384185977,35502456642,34033048685,34705933940,34099954532,34413086089,34143113482,36508261726,34650916020,34081033212,34588946991,34815917790,34301747572,34173883117,34637693826,34438814598,34290155861,33996343192,34758570773,34393621860
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1513953752,1479332710,1558303749,1552418350,1576394645,1560377871,1593344602,1495163134,1557746163,1543709463,1674427978,1640864118,1667440487,1679610805,1723071963,1746503583,1741164315,1777100321,1775298037,1817677663,2164432473,2174604584,2195183431,2507064794
Quando morreu o criador de Drácula?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país vem o criador de Miffy?,45449500975,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1529301503,1675338073,1539875578,1512369246,1575134308,1571853440,1541307368,1526431246,1585000574,1521805694,1566595919,1554534560,1554814256,1565595160,1699660393,1579735546,1679332419,1583586853,1621078109,1611811993,1651435112,1633363763,1765271904,1711708323
Qual é o nome verdadeiro do Batman?,16819330097,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,5818528809,5714847018,5808076258,5774860688,5882512228,5750006088,5773908593,5751769378,5744523515,5842293347,5698630979,5759238441,6027032140,5681367745,5695096835,6010149272,5753795645,4720193104,5761025160,5831573709,5715518514,5735168924,5702967010,5694008596
Que forma de governo a Rússia possui?,52879320506,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,5456324418,5456046739,5471964911,5379574326,5480810310,5322122098,5338823429,5369342511,5436132904,5353163020,5398116586,5396563801,5430162569,5487905746,5520327868,5465135330,5615428645,5604795978,5595509970,5479713341,5643998834,5834607513,5829145684,5715329779
Quantas companhias foram fundadas pelo fundador do Facebook?,101536896926,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7605789043,7349946804,7399158444,7483977761,7306103695,7361961701,7422128638,7282892974,7475299692,7369148478,7369779048,7402891828,6356409137,7432868960,7391021111,7670235294,7522254815,7604321020,7485577243,7527509172,7494980176,7527246789,7465576657,8003868096
Liste todas as gravadoras canadenses de música Grunge.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos filhos Benjamim Franklin teve?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste os filhos de Margaret Thatcher.,8887843013,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2742368925,2645734885,2699926849,2636423612,2716927776,2773541562,2750095249,2685309685,2727578112,2727575540,2718040072,2772015521,2729018571,2674865506,2633338903,2764367500,2697284784,2727495200,2652568766,2696592185,2636976932,2634049017,2685900025,2709892591
De que região é o Melon de Bourgogne?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o filho mais velho de Meryl Streep?,9188915714,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2677599956,2677976495,2693248532,2651693501,2763074110,2660374053,2705075760,2697107318,2645142864,2685684182,2689453774,3113608991,2773486082,2695011189,2634607548,2731012734,2690226231,2906719278,2705109734,2717506580,2633610322,2686020013,2668934493,2677512763
As rãs arborícolas são um tipo de anfíbio?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Velvet Goldmine?,4576327535,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,901376190,864191697,869802372,896492939,910038157,890609771,926030087,919478820,945191903,948197440,991946086,1004710924,1058178300,1095783869,1085202511,1178481900,1128236075,1130930217,1097243942,1127200409,1118456958,1107040419,1129630547,1079344869
Liste todos os jogos da GMT.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Isar desemboca em um lago?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que aeroportos a Yeti Airlines serve?,41436782288,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1507123065,1481479575,1519863538,1489296239,1554653766,1513875890,1528469853,1510167733,1577764038,1690336720,1566536571,1557157130,1723759756,1720863059,1800137934,1774758083,1860007779,1834851811,1865994257,1830922039,1912912206,1901167424,1909651759,1883057140
Que empresa indiana tem o maior número de empregados?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que cor expressa a lealdade?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a cidade com maior população?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem criou a Wikipedia?,6187263200,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1458949331,1491964809,1550146746,1544931696,1505104064,1575160975,1472341974,1536685553,1562144168,1493178376,1568499645,1515968187,1499886332,1480283284,1539937709,1513640814,1543292184,1530897906,1585557261,1505934657,1512996741,1587159392,1508554691,1519081529
Rita Wilson é a esposa de Tom Hanks?,22103456286,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3199252144,3280047110,3325090654,3255558385,3318763318,3242808275,3264493087,3304689587,3266639965,3409236935,3420923920,3362891992,3873905036,3404414150,3496523480,3422855613,3398179024,3545107253,3987655951,3536170403,4011637321,3636061750,3812452605,3780865144
A esposa do presidente Obama chama-se Michelle?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos grupos étnicos vivem na Eslovênia?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o presidente da Eritrea?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que filmes Stanley Kubrick dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando o Titanic foi completado?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas páginas tem Guerra e Paz?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o jogador mais jovem da Premier League?,7301282646,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1894079090,1843363609,1856343274,1810516283,1825093836,1860133767,1826067899,1795503595,1870384469,1848496454,1847190767,1830553537,1828676723,1820096262,1807437613,1764426685,1772455693,1806413410,1886123808,1800334980,1878019468,1884020831,1816881137,1815976497
Qual a montanha mais alta da Itália?,11504054881,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3901385346,3777540248,3730958470,3777000091,3849874260,3736026586,3747309337,3785544890,3752560105,3729616401,3817885760,3769097576,3763365681,3883928503,3757184876,3788199599,3791271285,3707293798,3791345017,3705915923,3673771540,3679640735,3720304494,3769656507
Qual a altura de Claudia Schiffer?,8719994531,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2585336828,2644023899,2802353662,2628068732,2703020156,2717437334,2643784015,2511144995,2793532196,2614309728,2669853528,2594576951,2672442653,2589681890,2542295161,2577512771,2574084615,2589702784,2568158517,2628359488,2744928955,2622348307,2582791285,2655633225
Quem foi o vice presidente de John F. Kennedy?,25464408385,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2476173213,2423626391,2510691727,2405800372,2495812509,2475577583,2496914355,2564411362,2424303688,2525597014,2548111464,2479674280,2668041429,2580888910,2631086470,2573822309,2660128831,2564256467,2575688880,2681738499,2607008095,2714859573,2635334906,2687297640
Que subsidiária da Lufthansa atende Dortmund e Berlin?,3807453103,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2002275499,1952084953,1887883722,1953364318,1951361076,1967710947,1989944663,1959281189,2000852527,2024010195,2024640422,2060273476,2158879745,2102335210,2140007816,2160165233,2209537022,2200440876,2197791516,2232890069,2204334412,2371108700,2252442221,2325685975
Quem foi o sucessor de John F. Kennedy?,83102311303,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,53207132297,51754648942,52452941566,52137204310,51687241873,52758374624,52712584869,52898897043,53081635278,52330779648,52450704094,51926170596,51694339699,53447029495,51731807844,52771525434,52083138602,52676430244,52376142150,52134410316,52407599771,52540721949,51689337904,53681863199
Quem compôs a trilha sonora do Titanic de Cameron?,20979471423,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2566375720,2497405373,2634654055,2439257867,2535359024,2549072869,2457636758,2541299418,2553904519,2357791057,2457480017,2473434040,2687597299,2611565029,2703247705,2704433965,2661278734,2700904099,2728498606,2758470919,2905695627,2781561305,2937824519,2903493806
Quais filmes Kurosawa dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Para qual gravadora Elvis gravou seu primeiro álbum?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que fuso horário está Roma?,5799536513,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3112797828,3024468790,3031477598,3045662121,3012209514,2978276528,2937186712,3058164167,3083348480,3070525306,3051576025,2986654542,3129860381,3015241220,3060483997,3018171637,2992325730,2994144180,3010631771,3117163177,3097669711,3029205964,3037384886,3010187403
Qual a moeda da China?,5876911567,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3470943255,3395936546,3466839214,3451566908,3786576994,3362106299,3495014494,3507707658,3448853480,3392293227,4029081278,3435737964,3430384545,3409639041,3440324301,3495355347,3503397186,3675503088,3517158885,3428624286,3409579495,3527362929,3475714431,3755684729
Quem são os desenvolvedores do DBPedia?,3487163107,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2236758707,2167303614,2144879913,2133982036,2151484164,2186997517,2192003292,2120553795,2200348085,2173657076,2169068945,2149094788,2205171212,2159229852,2180442772,2115461990,2164102486,2185600512,2108302133,2166021037,2150350058,2168162499,2149940727,2203578814
O local onde Abraham Lincoln morreu tem um website?,44090471189,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,32396642062,32527168078,31482617740,31928558619,32083590487,31886074103,32808842158,31635016982,31994271468,31745512249,31841073825,32492737382,31372100391,32083839739,31401342057,31858537000,33882383373,31956818545,31898839807,31245070146,32442641338,32529825047,31248630445,32155392875
Quem é o rei da Holanda?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que cidade Nikos Kazantzakis morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foi o pai da Rainha Elizabeth II?,4903713207,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2840060276,2744572968,2883407479,2870188999,2713056130,2770297530,2843801714,2826463861,2840157920,2962382833,2810555404,3059881637,2815340982,2815625977,2951882829,2734041955,2831132138,2737297180,2867871134,2732702957,2831209097,2777788679,2883067688,2855472389
Liste todas as aves que correm perigo de extinção.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos habitantes tem a maior cidade do Canadá?,81934112725,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,5506090466,5467998230,5535148972,5440632136,5425272378,5566978072,5503098829,5433843119,5565684624,5499350911,5296957427,5344964537,5460416201,5514592512,5758096142,5511465574,5674512304,5605015070,5746801388,5794870220,6140288804,6247628106,6214413080,6332758306
De quais conflitos militares Lawrence da Arábia participou?,25647393852,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2752831367,2726677196,2750160537,2687167810,3057456782,2646814475,2757864191,2751144036,2797347761,2731039499,2761607239,2720695961,2820505168,2663040537,2793594352,2814463045,2796962066,2835220589,2853398811,2826101202,2926893111,2989705176,3073741343,3095436873
Qual o livro com maior número de páginas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Nilo?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o piloto de Fórmula 1 com mais corridas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que companhias produzem aerodeslizadores?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elvis Presley teve filhos?,4083570753,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2677334605,2707078659,2733250820,2698959634,2730581717,2705090164,2740512952,2608973468,2718899811,2604847617,2747813385,2703621265,2742489732,2686735794,2693052350,2712642572,2740230529,2758697858,2706611223,2692027850,2758589642,2711950006,2665709200,2830577592
Em que cidade o presidente de Montenegro nasceu?,69800825379,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6027544136,5939313050,6067278540,6046790752,6054135471,6070212482,6079407201,5941242641,6120361911,6031492470,6111327142,6153940519,6154925812,6091533168,6302062693,6186434268,6393257841,6369559471,6449978926,6457764145,6651987636,6554176316,6579087545,6675501275
Em que país Bill Gates nasceu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país se fala japonês?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre me o livro que Muhammad Ali escreveu.,66253933806,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1681297183,1649017568,1602832836,1633151032,1733477761,1581902776,1608192623,1597214010,1711569446,1623145916,1759153464,1731279754,1726501473,1656388486,1703781624,1714831696,1707884229,1811150252,1768150593,1839547334,1785968179,1750497894,1850508847,1809003513
Michelle Obama é a esposa de Barack Obama?,13215603193,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3208840453,3448620350,3303710733,3208939768,3340945965,3335752416,3317799096,3344748120,3335204293,3327119810,3330991715,3344193996,3405982264,3375841158,3509534326,3519186254,3585393326,3562928581,3595526295,3988175357,3531622264,3938578030,3689388773,3744373957
Qual é o código de área de Berlin?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os atores que atuaram em Last Action Hero.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais são os apelidos de San Francisco?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual foi o primeiro álbum do Queen?,13109459435,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8636923071,8760218413,8868733894,8713776901,8671471214,8600278435,8670413763,8668135121,8469858793,8494329814,8616756184,8567119498,8749631349,8753169601,8795910911,8644764467,8497774398,8754920738,8801769553,8466756227,8807236077,8650915867,8486972468,9018254968
Por quais países o rio Yenisei passa?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais séries de televisão foram criadas por Walt Disney?,16777408535,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3299290937,3274541209,3259405563,3264919645,3458453566,3181646573,3420858223,3262326683,3321805368,3285919860,3435652067,3379258029,3444839986,3342210391,3566251301,3518984254,3705366206,3654146351,3613360624,3649850730,3661156938,3652070977,3559807976,3730431178
Qual a ponte mais comprida?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país é a Sitecore,2703218935,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1465521639,1431417746,1576297965,1457088128,1497755574,1472715526,1516847273,1491357318,1531175273,1475356748,1531154893,1434438984,1496204847,1586377299,1439520886,1640017327,1451504050,1546021166,1549321998,1517910790,1482122568,1499758033,1477674214,1537180463
Com quem Lance Bass casou-se?,1585536414,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,884156260,977319930,880140316,889601033,896167194,870649577,870361363,894523781,902704535,895546058,874472966,882365372,886020754,846947826,917534204,867988916,880529909,900278118,910504712,888238379,890823055,861104348,880017464,911084148
Qual a capital do Canadá?,16490654474,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9441554867,9653560261,9401455953,9566763708,9490609786,9353777876,9866063775,9432900360,9344159364,9177437122,9562143693,9175752462,9541383876,9295276340,9280652005,9515276361,9229674247,9332616323,9377078444,9250899184,9184272041,9436303268,9383529918,9314666148
Em quem Vincent van Gogh inspirou-se?,1404395294,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,861702327,822271335,854516204,825468505,806213406,817107220,829619284,839199989,840229102,802236611,809516451,836404491,808750729,844406939,833502453,863633852,806727457,874707220,811602074,863717903,794564058,825251510,803797570,829202459
Em que cidade John F. Kennedy morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O presidente Jackson dos EUA envolveu-se em uma guerra?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu o tema do Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem projetou a Ponte do Brooklin?,1435961812,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,831901077,904608844,878971485,854086468,860143288,845014455,851007643,836236448,859390877,865264125,851147979,838070909,848016204,837177521,841004085,845098011,833996043,874001942,852771431,878288150,869018498,854134042,852457848,884089970
Quando Boris Becker encerrou sua carreira?,7860595459,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3317545000,3034619834,3305653127,3028753438,3066863711,3111342041,3387662310,3093409113,3038182109,3083567298,3040662841,3484027795,3144947660,3038143282,3529228727,3114573065,3125039800,3197994255,3133685878,3211125950,3254567663,3173255329,3569311992,3248091234
Que tipos de uvas crescem no Oregon?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura de Michael Jordan?,4746990964,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2620842811,2676326910,2576044508,2585493456,2619099558,2602893284,2577350151,2574761390,2677913761,3039302815,2537104202,2631151042,2640735249,2557829171,2620633523,2680789957,2523386680,2554314752,2519846160,2780436416,2648184336,2571981836,2532078043,2662858353
