,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quem era chamado de Rodzilla?,982092468,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,168825348,162579364,153192597,150305116,153384608,163152276,165824935,153385275,158214506,146468082,152248942,147450843,159802437,151181847,161129491,148752705,152200689,158155067,158668960,158645159,155049995,165253344,154312577,165811307
Natalie Portman nasceu nos Estados Unidos?,38657778763,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,211871851,213331666,234042152,219901133,229977878,219652094,254630461,249003369,262928196,263978291,267729872,279786576,279301046,295797154,368390532,370659845,468455489,509498583,577287200,560820925,939624978,1047957921,960525520,1297210916
Mostre os netos de Elvis Presley.,1249733414,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,141748796,161600529,161408522,150602180,149957001,162228019,150527602,141018329,166428039,138727423,158038457,168619355,167155963,163216598,144070700,148810557,171479815,160056517,148962819,163048314,162415720,152209886,153919889,173641543
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,275926924,273079423,314766894,290543788,314474032,289788919,321908253,299883480,326521497,331258522,374266268,381990384,408663021,436364136,477375845,519383478,509451769,534460693,563937574,558904316,938283193,952885783,952824887,1236650535
Quando morreu o criador de Drácula?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país vem o criador de Miffy?,38468686969,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,263778988,274847883,281828424,257623708,249767122,275856445,264667233,265729272,278152481,248804756,288449783,284455357,281637899,281544868,313562406,283216280,329532805,333094445,371404310,332927733,400672164,360805842,419252532,475485281
Qual é o nome verdadeiro do Batman?,1188127164,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,275843126,273565135,270478502,303855200,272223682,262295882,319827776,275322544,278828243,284559408,279231652,291450169,339476758,275099177,308134647,341902255,310447135,283584905,271596193,326724301,271971162,262295644,296291196,275664239
Que forma de governo a Rússia possui?,38165210191,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,240514754,224360090,259992959,259401730,248566702,243029621,272831895,263970577,256828981,242908687,268660723,301863606,274569638,291623640,362013459,325748978,435453621,398893971,426896333,389383227,503070520,652378135,669260216,609660665
Quantas companhias foram fundadas pelo fundador do Facebook?,77346042586,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,293139675,271372423,287283907,288540378,290977663,286998658,336186869,296577963,343635868,354120947,394405799,374887300,417823814,399520025,440690521,461896343,451375362,446998456,502251371,455166265,472532950,489276356,473184544,448485906
Liste todas as gravadoras canadenses de música Grunge.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos filhos Benjamim Franklin teve?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste os filhos de Margaret Thatcher.,1240989022,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,215887882,206620448,194605275,178044001,196744559,245594098,199816418,205513642,203757767,209625933,213449655,222667989,210678569,203705331,204577840,224813909,223961875,221937887,210775780,223602309,207463045,206146227,211754122,180218499
De que região é o Melon de Bourgogne?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o filho mais velho de Meryl Streep?,1327539747,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,228397536,236825587,237484131,207593984,241413161,220390227,218264611,250569554,225968861,246832545,221065542,249568573,242473610,241506906,221774257,263821660,248186016,228210563,255717723,231770955,225632749,232217149,243682607,244949958
As rãs arborícolas são um tipo de anfíbio?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Velvet Goldmine?,2336314177,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,104607106,81305408,112291813,132000941,130254136,128607072,141247204,156114064,171221913,157232383,228091898,225217234,282644257,300305018,319044612,314741780,336799801,325269445,333736095,340699712,335568340,340450124,311171640,312040917
Liste todos os jogos da GMT.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Isar desemboca em um lago?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que aeroportos a Yeti Airlines serve?,35142264897,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,230314873,219048820,229055100,237734218,249471081,229890350,245832196,262262743,275834535,287404142,320677101,333665494,388812218,380187129,511927062,526484429,550960622,562360713,556003521,535457485,564563544,570442374,619659206,611623257
Que empresa indiana tem o maior número de empregados?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que cor expressa a lealdade?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a cidade com maior população?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem criou a Wikipedia?,672079970,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,131205933,143318713,141983113,133266891,145060620,154278274,135657581,145104223,152115326,148456455,161631349,153194442,143111122,140862049,137779014,149241507,155250655,140881589,143754407,146636377,144662038,151940980,139960424,152452142
Rita Wilson é a esposa de Tom Hanks?,12354591581,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,202317707,243814771,256209814,248337318,280083841,247606419,242377382,263114873,268499038,310924810,307594597,341030213,348767776,356296073,464676662,465553981,479693270,486813472,522724086,530947031,554647993,545020487,857534581,851222632
A esposa do presidente Obama chama-se Michelle?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos grupos étnicos vivem na Eslovênia?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o presidente da Eritrea?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que filmes Stanley Kubrick dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando o Titanic foi completado?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas páginas tem Guerra e Paz?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o jogador mais jovem da Premier League?,1149239447,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,166942512,190075118,188698444,179132367,174881701,169751067,177392854,179370768,191889684,183286634,175064617,167031199,163260721,181973712,164112098,168648400,181950147,181332410,188593830,171905822,191376812,182794902,185232447,180861805
Qual a montanha mais alta da Itália?,1506398235,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,216224573,209317910,198279302,194703418,208579408,185521392,200672260,186123286,211069859,193279534,198990431,202285079,191206783,209835749,202815592,210932953,208141179,197054507,204996559,198001324,185557513,166927268,193306042,209455990
Qual a altura de Claudia Schiffer?,1120795156,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,178654131,194108427,197449633,193025211,190082230,193347645,198663151,180099718,190489621,195529211,194582499,202533956,181929207,202001683,194564527,178782272,189712007,184119772,172701639,189020430,198162627,191791730,219148936,187721112
Quem foi o vice presidente de John F. Kennedy?,16914748285,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,230145116,219429733,246009256,224852434,224822625,232526807,234185754,279029742,239652674,240114434,263942402,269707362,326551397,306008028,418183310,415716850,447525753,392909489,392572759,461768556,441524070,421689979,477071170,432049234
Que subsidiária da Lufthansa atende Dortmund e Berlin?,957493081,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,95992810,100109795,99254765,112410450,121581734,130009486,133654442,127632972,162710064,163406023,198760092,211960836,263068083,258413146,314946893,325492143,371605657,363805363,371375081,401060574,419867708,438722842,423758931,427771878
Quem foi o sucessor de John F. Kennedy?,380387309,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,204113572,204341394,199687952,192237871,173550386,213706624,178835168,188401581,204720613,192725963,196356493,202490761,215528303,202098798,207390404,191762010,187833894,193685785,185491521,201298138,197804607,181011892,201598771,199111974
Quem compôs a trilha sonora do Titanic de Cameron?,15730300147,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,243703384,264882888,273889267,242739494,260619911,274975369,259511733,272961196,285850276,255509129,283834436,294415758,356170829,340168450,454198535,507543929,479224147,496478320,554748220,557690759,584860124,596082553,651035624,633117196
Quais filmes Kurosawa dirigiu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Para qual gravadora Elvis gravou seu primeiro álbum?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que fuso horário está Roma?,406775231,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,188690873,186075786,201236014,184981277,178693377,189974684,190525426,189372694,179351836,201082093,181419719,188462312,184753312,187276255,188634231,194503474,182876893,189827721,183602762,194192206,203809619,197988273,180552576,195743086
Qual a moeda da China?,431516682,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,222575246,223107651,232064846,211317070,241768364,214044850,205326302,255662818,226474502,219295609,240053399,231912979,244020267,218248038,238640737,232785805,270310168,284726917,252830075,217888667,205902919,224454934,247612501,238855359
Quem são os desenvolvedores do DBPedia?,226775993,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,122374814,114627025,118240269,119700890,121719466,136365427,124316771,114244493,113087407,127722574,132277007,136050982,131610555,131635789,128287988,112709020,122824069,137662985,124638354,131284991,128474063,134898043,124528586,136759734
O local onde Abraham Lincoln morreu tem um website?,404428556,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,228305559,212065982,224552928,215566327,214048538,244470600,209321675,201964606,204983579,195787033,193788690,192879951,213465861,187661148,236017724,200828769,191627434,208493917,225002586,203989551,222474990,203274543,204219213,207816262
Quem é o rei da Holanda?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que cidade Nikos Kazantzakis morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foi o pai da Rainha Elizabeth II?,492138237,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,233971694,234582248,253110756,235131918,241706954,232829862,247052972,232673139,246783061,263838481,228989979,235712114,235471525,240056796,284709138,238508114,243820140,261548069,250510344,240565701,236900688,241418229,247424601,246217570
Liste todas as aves que correm perigo de extinção.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos habitantes tem a maior cidade do Canadá?,68089727932,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,390616567,406403624,460356157,430876274,378798367,392424772,395424926,416844497,430725011,486862743,429657500,397725826,459185804,505287048,576539045,518211261,639434822,644197793,735165747,771414774,1092754558,1163325239,1213324593,1301358518
De quais conflitos militares Lawrence da Arábia participou?,19895555315,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,213016372,228933795,235235692,228085203,220854583,224037394,235720175,240162420,244998086,240070942,246233336,249402736,274959512,254180791,322262339,333547989,331662820,362781832,437021265,382128386,547504762,563844396,608031943,654702163
Qual o livro com maior número de páginas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Nilo?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o piloto de Fórmula 1 com mais corridas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que companhias produzem aerodeslizadores?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elvis Presley teve filhos?,364969973,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,200875104,211237664,201007669,218817412,220799708,203971869,190169821,185938494,212603989,189347497,218163384,215077905,208627551,200857389,207406704,208100367,231632644,211303543,195768295,215724245,212993992,213833579,218068455,214368592
Em que cidade o presidente de Montenegro nasceu?,58257477917,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,315262304,273786299,295691505,320040805,315435347,348625526,374616597,357737034,356250824,383215255,429712070,413312235,469192542,473328823,573448048,589169288,723957441,724764687,832045442,823873308,857765508,848574396,855193308,919841393
Em que país Bill Gates nasceu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país se fala japonês?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre me o livro que Muhammad Ali escreveu.,61429759563,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,271931953,282338752,271790532,298141204,316615480,288057998,320900806,316229287,341565465,352765088,413829009,378389525,403952782,386469495,395503101,403280849,421756508,424472371,431356630,462823309,435044939,460773327,484938283,528889640
Michelle Obama é a esposa de Barack Obama?,7990189822,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,208898339,211573936,224088334,209196058,232301075,230397059,257913996,237863218,269427116,260630212,272187206,281620338,352213260,329717562,447542077,438588013,525004086,536850965,540510968,563856084,543090945,534534230,710152018,697501255
Qual é o código de área de Berlin?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os atores que atuaram em Last Action Hero.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais são os apelidos de San Francisco?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual foi o primeiro álbum do Queen?,554296290,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,343926833,333849001,359837697,316617367,341836978,342177944,290890019,301204724,282812544,315997619,336851466,312314116,273874319,358696137,334253525,323431570,324514210,341389932,317809026,310245536,320776086,312437788,281701270,298869260
Por quais países o rio Yenisei passa?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais séries de televisão foram criadas por Walt Disney?,10689702733,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,264067553,260474944,271659310,255672293,305798517,263159183,273581940,297473621,297375284,310982890,381998616,408026065,447766152,357755732,603232018,553277614,652767668,598985597,596199626,608038786,597175270,624389736,606320616,608016473
Qual a ponte mais comprida?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país é a Sitecore,478506994,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,231297205,228129867,235315750,241106488,218646572,226346032,226610923,232354682,245347570,240865655,233594602,207182749,240181920,238503675,219384888,231033627,218575006,230619401,247374177,226292312,223167203,236786531,245720298,247212635
Com quem Lance Bass casou-se?,216879219,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,99132406,110237669,98572355,94988492,103341495,103678118,105044189,111819823,104109455,97862437,105516672,95304536,105077292,99018130,94824056,97021637,99997269,104742796,108852454,94622227,108462491,105006246,103555694,106045630
Qual a capital do Canadá?,298284695,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,241931481,238062067,238203737,229144224,235874051,245872366,234422148,233435955,224156310,232108718,225620635,226127917,229248105,227521349,228541100,222777370,240127419,201171340,229067563,233999015,245100943,228750003,236984123,236892407
Em quem Vincent van Gogh inspirou-se?,142968210,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,71986968,72610110,78691958,87951993,72346836,66750558,75572380,79889281,91610956,74053467,74267802,69441316,82336252,75556139,92994608,78365992,78405512,87553808,85493504,71376445,73542089,79777832,77967719,76620339
Em que cidade John F. Kennedy morreu?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O presidente Jackson dos EUA envolveu-se em uma guerra?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu o tema do Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem projetou a Ponte do Brooklin?,240153806,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,92974045,93366599,101331279,90540795,100369335,96945132,88418705,95182379,99901503,96376853,93788503,94763397,89080519,94143328,97670142,103579227,93116711,108807188,88714785,106913353,100946342,104661060,100183365,101144484
Quando Boris Becker encerrou sua carreira?,3250961063,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,202016529,199787643,253524833,230054856,220259608,226537792,233660340,253826794,271430892,274250755,274478134,301784836,261969999,278284912,328553286,295499305,341060043,366183780,373787180,395528794,421059459,415729640,487774499,410040403
Que tipos de uvas crescem no Oregon?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura de Michael Jordan?,354940545,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,191023592,192526147,199915978,185835733,202573844,191635278,181629368,187661011,184109296,180224865,177377277,195643306,194961057,200357936,195031673,200588822,192258587,187285350,191407851,205101751,195251269,200245780,193071372,202606173
A que partido o prefeito de Paris pertence?,24923197703,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,286952766,265932129,286497246,298286707,278917910,299931447,297979355,324065135,319760895,326220325,391210649,379647531,466085924,453102988,500992856,553427836,697358008,656857951,803971877,775643589,1042101484,1010062144,1094801251,1182245277
Quem escreveu o livro Os Pilares da Terra?,164420232,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,150170969,145819498,156719736,142154074,169271178,160090916,154221409,148255132,140853716,147513193,158878186,162504264,154505777,165098745,150954047,153958154,168783017,156314812,151443488,166538471,155888909,165436063,153976631,158031500
Quem foi o 16o presidente dos Estados Unidos?,537928647,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,294559676,319400903,337306166,290253289,326517418,310981234,326515535,292171160,313710332,322383634,272203277,361808057,318268846,353129308,312940964,316575936,320255615,340930090,292717831,300218470,319245166,326713677,292915692,324318858
Qual a altura do Monte Everest?,336850625,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,185362832,184930009,182201931,186496153,202160263,180282683,182834613,193094249,189929802,199867738,198320139,201854148,183218053,190213906,186016288,187522707,189642775,198286551,191784566,210495282,207105006,196614045,201997211,193358951
Quem foi o orientador do doutorado de Albert Einstein?,5623831532,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,201669529,207411235,226734433,229906831,232954199,217622915,246533790,245748010,264897092,252066751,301553875,310213284,381289685,345684650,549862785,509238045,717952315,489547881,880634602,974832016,1137376488,1132483614,1139319644,1197904539
Em que cidade Sylvester Stallone mora?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a moeda da República Tcheca?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sócrates influenciou Aristóteles?,1662519460,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,121687393,132618592,138612109,145942021,139327812,140696935,145048623,139055572,144428814,146136004,155242276,153312925,169493018,177924766,198303046,177089473,224250050,241890718,243248394,230437583,226434186,204135656,354274705,351687311
Qual o fuso horário de Salt Lake City?,90886906,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,86212038,84866887,85138874,81014231,79429883,80065266,82291934,89176830,87255553,86696680,81809030,91042361,88582538,100012228,93512306,84608950,85970718,87579439,90512618,83426788,92360792,96399912,84238493,86486236
Quem é o filho de Sonny e Cher?,13861636713,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,248324497,274923033,308505474,258036298,324636030,300524529,331822290,317937947,314308077,331721088,371410567,432745434,433889064,485791239,588305294,595325355,766032882,773087259,999326882,993531173,1182721863,1195402525,1354935634,1277335211
Em que cidade está a sede das Nações Unidas?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o fundador da Penquin Books?,326666877,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,167963967,162155456,173925046,177746896,161633782,182142685,179213524,167591729,166644066,178110853,175649988,182960956,175607851,182984372,190451698,174021105,163476262,193800782,192067290,190159738,184117471,195431782,188698729,178347138
Quando foi fundada a Jack Wolfskin?,362021056,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,130139036,140734364,124916818,138133431,129315682,131523786,133109284,128474118,140976041,144808338,129581718,144204098,146369402,136680086,147921622,127764625,128892357,138517814,142759083,130983809,140219413,141422083,133889600,133474006
