;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Qual a moeda da China?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem são os desenvolvedores do DBPedia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O local onde Abraham Lincoln morreu tem um website?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o rei da Holanda?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade Nikos Kazantzakis morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o pai da Rainha Elizabeth II?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todas as aves que correm perigo de extinção.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a maior cidade do Canadá?;35017;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
De quais conflitos militares Lawrence da Arábia participou?;18434;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Qual o livro com maior número de páginas?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Nilo?;32039;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;29;29;49;49;73;73;98;98;148;148;198;198;298;298;398;398;498;498
Quem é o piloto de Fórmula 1 com mais corridas?;13326;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;29;29;48;48;71;71;96;96;145;145;192;192;291;291;391;391;490;490
Que companhias produzem aerodeslizadores?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Elvis Presley teve filhos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade o presidente de Montenegro nasceu?;38271;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;199;199;299;299;399;399;499;499
Em que país Bill Gates nasceu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país se fala japonês?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre me o livro que Muhammad Ali escreveu.;38223;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Michelle Obama é a esposa de Barack Obama?;19704;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;199;199;298;298;398;398;498;498
Qual é o código de área de Berlin?;27479;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Liste todos os atores que atuaram em Last Action Hero.;28131;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quais são os apelidos de San Francisco?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual foi o primeiro álbum do Queen?;38168;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;498;498
Por quais países o rio Yenisei passa?;28561;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;98;98;148;148;198;198;298;298;398;398;498;498
Quais séries de televisão foram criadas por Walt Disney?;24271;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;499;499
Qual a ponte mais comprida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que país é a Sitecore;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Com quem Lance Bass casou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a capital do Canadá?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em quem Vincent van Gogh inspirou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade John F. Kennedy morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O presidente Jackson dos EUA envolveu-se em uma guerra?;37833;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;299;299;398;398;496;496
Quem escreveu o tema do Game of Thrones?;30557;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;398;398;498;498
Quem projetou a Ponte do Brooklin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando Boris Becker encerrou sua carreira?;12773;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;499;499
Que tipos de uvas crescem no Oregon?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Qual a altura de Michael Jordan?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A que partido o prefeito de Paris pertence?;33806;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o 16o presidente dos Estados Unidos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a altura do Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o orientador do doutorado de Albert Einstein?;14739;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Em que cidade Sylvester Stallone mora?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a moeda da República Tcheca?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Sócrates influenciou Aristóteles?;3159;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;28;28;45;45;69;69;94;94;144;144;194;194;294;294;394;394;494;494
Qual o fuso horário de Salt Lake City?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o filho de Sonny e Cher?;27933;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Em que cidade está a sede das Nações Unidas?;29816;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;299;299;399;399;499;499
Quem é o fundador da Penquin Books?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando foi fundada a Jack Wolfskin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Rotterdam?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os oceanógrafos suecos.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre-me a autobiografia de Hemingway.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem são os pais da esposa de Juan Carlos I?;21515;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;149;149;198;198;297;297;397;397;497;497
Tesla ganhou um Prêmio Nobel de Física?;388;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;72;72;91;91;141;141;191;191;291;291;379;379;379;379
Quem é o jogador de basquete mais alto?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual cidade tem menos habitantes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A proinsulina é uma proteína?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foram os pais da Rainha Victoria?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Che Guevara teve filhos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O lago Baikal é maior do que o lago Great Bear?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Kaurismäki alguma vez venceu o Grand Prix de Cannes?;24206;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;99;99;146;146;196;196;296;296;396;396;496;496
Liste todos os livros de William Goldman com mais de 300 páginas.;28532;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;28;28;48;48;73;73;98;98;148;148;198;198;298;298;398;398;498;498
Onde está localizado o Fort Knox?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que estado dos EUA fica o Fort Knox?;41001;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;149;149;199;199;297;297;395;395;495;495
Onde está enterrado Syngman Rhee?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é o fuso horário de São Pedro de Atacama?;11571;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;29;29;49;49;73;73;97;97;147;147;196;196;296;296;396;396;496;496
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?;17652;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;199;199;299;299;399;399;499;499
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;148;148;198;198;297;297;396;396;496;496
Mostre-me todos os livros de Asimov da série Fundação.;28622;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;73;73;98;98;148;148;197;197;297;297;397;397;497;497
Liste todas as cidades em New Jersey com mais de 100000 habitantes.;29853;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Que museu de Nova York tem mais visitantes?;28786;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;199;199;299;299;399;399;499;499
Qual a altura da torre Yokohama Marine?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A nova série Battlestar Galactica tem mais episódios do que a anterior?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o jogador mais jovem de dardos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem desenvolveu o jogo World of Warcraft?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual papa fundou a Televisão do Vaticano?;15350;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;499;499
Quem compôs a música para Harold e Maude?;24633;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;298;298;393;393;486;486
Liste todos os membros da Prodigy;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem atua nos filmes espanhois produzidos por Benicio del Toro?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;48;48;71;71;96;96;142;142;192;192;292;292;392;392;492;492
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?;7459;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Em qual país está localizada Meca?;39504;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;396;396;496;496
Quantos idiomas são falados na Colômbia?;30789;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Qual o maior estádio da Espanha?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que surfistas profissionais nasceram nas Filipinas?;11911;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;299;299;399;399;499;499
Quais são os cinco condados de New York?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cola é uma bebida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando a princesa Diana morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Onde é produzido o vinho espumante na França?;14600;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;395;395;491;491
