;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Em que cidade o presidente de Montenegro nasceu?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Em que país Bill Gates nasceu?;3;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Em que país se fala japonês?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mostre me o livro que Muhammad Ali escreveu.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michelle Obama é a esposa de Barack Obama?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Qual é o código de área de Berlin?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste todos os atores que atuaram em Last Action Hero.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quais são os apelidos de San Francisco?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual foi o primeiro álbum do Queen?;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
Por quais países o rio Yenisei passa?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quais séries de televisão foram criadas por Walt Disney?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Qual a ponte mais comprida?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De que país é a Sitecore;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Com quem Lance Bass casou-se?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a capital do Canadá?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Em quem Vincent van Gogh inspirou-se?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que cidade John F. Kennedy morreu?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O presidente Jackson dos EUA envolveu-se em uma guerra?;6;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0
Quem escreveu o tema do Game of Thrones?;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;4;4;4;4
Quem projetou a Ponte do Brooklin?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quando Boris Becker encerrou sua carreira?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Que tipos de uvas crescem no Oregon?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Qual a altura de Michael Jordan?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
A que partido o prefeito de Paris pertence?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem escreveu o livro Os Pilares da Terra?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Quem foi o 16o presidente dos Estados Unidos?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Qual a altura do Monte Everest?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem foi o orientador do doutorado de Albert Einstein?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Em que cidade Sylvester Stallone mora?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Qual a moeda da República Tcheca?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Sócrates influenciou Aristóteles?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual o fuso horário de Salt Lake City?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o filho de Sonny e Cher?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que cidade está a sede das Nações Unidas?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quem é o fundador da Penquin Books?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quando foi fundada a Jack Wolfskin?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o prefeito de Rotterdam?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Liste todos os oceanógrafos suecos.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mostre-me a autobiografia de Hemingway.;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quem são os pais da esposa de Juan Carlos I?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Tesla ganhou um Prêmio Nobel de Física?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o jogador de basquete mais alto?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual cidade tem menos habitantes?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A proinsulina é uma proteína?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem foram os pais da Rainha Victoria?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Che Guevara teve filhos?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O lago Baikal é maior do que o lago Great Bear?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kaurismäki alguma vez venceu o Grand Prix de Cannes?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste todos os livros de William Goldman com mais de 300 páginas.;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Onde está localizado o Fort Knox?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Em que estado dos EUA fica o Fort Knox?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0
Onde está enterrado Syngman Rhee?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual é o fuso horário de São Pedro de Atacama?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mostre-me todos os livros de Asimov da série Fundação.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste todas as cidades em New Jersey com mais de 100000 habitantes.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que museu de Nova York tem mais visitantes?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Qual a altura da torre Yokohama Marine?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A nova série Battlestar Galactica tem mais episódios do que a anterior?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o jogador mais jovem de dardos?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem desenvolveu o jogo World of Warcraft?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual papa fundou a Televisão do Vaticano?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem compôs a música para Harold e Maude?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste todos os membros da Prodigy;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quem atua nos filmes espanhois produzidos por Benicio del Toro?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em qual país está localizada Meca?;10;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Quantos idiomas são falados na Colômbia?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Qual o maior estádio da Espanha?;7;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Que surfistas profissionais nasceram nas Filipinas?;25;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
Quais são os cinco condados de New York?;5;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Cola é uma bebida?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quando a princesa Diana morreu?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Onde é produzido o vinho espumante na França?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
