;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
De que país vem o criador de Miffy?;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;28399;-1;28399;28399;28399;-1;28399;28399;28399;-1;-1
Qual é o nome verdadeiro do Batman?;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;33659;-1;33659;33659;33659;-1;33659;33659;33659;-1;-1
Que forma de governo a Rússia possui?;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;22168;-1;-1;22168;22168;-1;-1;22168;22168;-1;-1
Quantas companhias foram fundadas pelo fundador do Facebook?;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;33581;-1;33581;33581;33581;-1;33581;33581;33581;-1;-1
Liste todas as gravadoras canadenses de música Grunge.;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;21936;-1;-1;21936;21936;-1;-1;21936;21936;-1;-1
Quantos filhos Benjamim Franklin teve?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;20643;-1;20643;20643;20643;-1;20643;20643;20643;-1;-1
De que região é o Melon de Bourgogne?;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;38042;-1;-1;38042;38042;-1;-1;38042;38042;-1;-1
Qual é o filho mais velho de Meryl Streep?;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;30241;-1;30241;30241;30241;-1;-1;30241;30241;-1;-1
As rãs arborícolas são um tipo de anfíbio?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Velvet Goldmine?;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;408;-1;408;408;408;-1;408;408;408;-1;408
Liste todos os jogos da GMT.;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;25275;-1;25275;25275;25275;-1;-1
O Isar desemboca em um lago?;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;11906;-1;11906;11906;11906;-1;11906;11906;11906;-1;11906
Que aeroportos a Yeti Airlines serve?;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;17433;-1;17433;17433;17433;-1;-1;17433;17433;-1;-1
Que empresa indiana tem o maior número de empregados?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que cor expressa a lealdade?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a cidade com maior população?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou a Wikipedia?;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;-1;-1;11273;11273;-1;-1;11273;11273;-1;-1
Rita Wilson é a esposa de Tom Hanks?;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;19602;-1;-1;19602;19602;-1;-1;19602;19602;-1;-1
A esposa do presidente Obama chama-se Michelle?;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;29703;-1;29703;29703;29703;-1;-1;29703;29703;-1;-1
Quantos grupos étnicos vivem na Eslovênia?;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;29986;-1;29986;29986;29986;-1;29986;29986;29986;-1;-1
Quem é o presidente da Eritrea?;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;23092;-1;23092;23092;23092;-1;-1;23092;23092;-1;-1
Que filmes Stanley Kubrick dirigiu?;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;10164;-1;10164;10164;10164;-1;10164;10164;10164;-1;-1
Quando o Titanic foi completado?;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215
Quantas páginas tem Guerra e Paz?;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;21719;-1;-1;21719;21719;-1;-1;21719;21719;-1;-1
Quem é o jogador mais jovem da Premier League?;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;11412;-1;11412;11412;11412;-1;11412;11412;11412;-1;-1
Qual a montanha mais alta da Itália?;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;14111;-1;14111;14111;14111;-1;14111;14111;14111;-1;-1
Qual a altura de Claudia Schiffer?;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;20412;-1;20412;20412;20412;-1;20412;20412;20412;-1;20412
Quem foi o vice presidente de John F. Kennedy?;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;21764;-1;21764;21764;21764;-1;21764;21764;21764;-1;-1
Que subsidiária da Lufthansa atende Dortmund e Berlin?;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;9672;-1;-1;9672;9672;-1;-1;9672;9672;-1;-1
Quem foi o sucessor de John F. Kennedy?;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;19819;-1;19819;19819;19819;-1;19819;19819;19819;-1;-1
Quem compôs a trilha sonora do Titanic de Cameron?;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;20988;-1;20988;20988;20988;-1;-1;20988;20988;-1;-1
Quais filmes Kurosawa dirigiu?;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;10315;-1;10315;10315;10315;-1;10315;10315;10315;-1;-1
Para qual gravadora Elvis gravou seu primeiro álbum?;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;28633;-1;28633;28633;28633;-1;28633;28633;28633;-1;-1
Em que fuso horário está Roma?;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;13610;-1;-1;13610;13610;-1;-1;13610;13610;-1;-1
Qual a moeda da China?;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;26973;-1;-1;26973;26973;-1;-1;26973;26973;-1;-1
Quem são os desenvolvedores do DBPedia?;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;8163;-1;8163;8163;8163;-1;8163;8163;8163;-1;8163
O local onde Abraham Lincoln morreu tem um website?;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;21010;-1;21010;21010;21010;-1;21010;21010;21010;-1;-1
Quem é o rei da Holanda?;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;10936;-1;10936;10936;10936;-1;10936;10936;10936;-1;-1
Em que cidade Nikos Kazantzakis morreu?;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;372;-1;372
Quem foi o pai da Rainha Elizabeth II?;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;20864;-1;20864;20864;20864;-1;20864;20864;20864;-1;-1
Liste todas as aves que correm perigo de extinção.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a maior cidade do Canadá?;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;35017;-1;-1;35017;35017;-1;-1;35017;35017;-1;-1
De quais conflitos militares Lawrence da Arábia participou?;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;18434;-1;18434;18434;18434;-1;18434;18434;18434;-1;-1
Qual o livro com maior número de páginas?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Nilo?;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;32039;-1;32039;32039;32039;-1;32039;32039;32039;-1;32039
Quem é o piloto de Fórmula 1 com mais corridas?;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;13326;-1;13326;13326;13326;-1;13326;13326;13326;-1;-1
Que companhias produzem aerodeslizadores?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Elvis Presley teve filhos?;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;21053;-1;-1;21053;21053;-1;-1;21053;21053;-1;-1
Em que cidade o presidente de Montenegro nasceu?;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;38271;-1;38271;38271;38271;-1;-1;38271;38271;-1;-1
Em que país Bill Gates nasceu?;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;3749;-1;3749;3749;3749;-1;3749;3749;3749;-1;-1
Em que país se fala japonês?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre me o livro que Muhammad Ali escreveu.;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;38223;-1;38223;38223;38223;-1;38223;38223;38223;-1;-1
Michelle Obama é a esposa de Barack Obama?;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;19704;-1;19704;19704;19704;-1;-1;19704;19704;-1;-1
Qual é o código de área de Berlin?;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;27479;-1;-1;27479;27479;-1;-1;27479;27479;-1;-1
Liste todos os atores que atuaram em Last Action Hero.;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;28131;-1;28131;28131;28131;-1;-1;28131;28131;-1;-1
Quais são os apelidos de San Francisco?;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;22650;-1;22650;22650;22650;-1;22650;22650;22650;-1;-1
Qual foi o primeiro álbum do Queen?;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;38168;-1;38168;38168;38168;-1;-1;38168;38168;-1;-1
Por quais países o rio Yenisei passa?;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;28561;-1;28561;28561;28561;-1;28561;28561;28561;-1;-1
Quais séries de televisão foram criadas por Walt Disney?;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;24271;-1;24271;24271;24271;-1;24271;24271;24271;-1;-1
Qual a ponte mais comprida?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que país é a Sitecore;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;28370;-1;28370;28370;28370;-1;28370;28370;28370;-1;-1
Com quem Lance Bass casou-se?;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;-1;1154;1154;1154;-1;1154;1154;1154;-1;-1
Qual a capital do Canadá?;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;25284;-1;-1;25284;25284;-1;-1;25284;25284;-1;-1
Em quem Vincent van Gogh inspirou-se?;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97
Em que cidade John F. Kennedy morreu?;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365
O presidente Jackson dos EUA envolveu-se em uma guerra?;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;37833;-1;37833;37833;37833;-1;37833;37833;37833;-1;-1
Quem escreveu o tema do Game of Thrones?;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;30557;-1;30557;30557;30557;-1;30557;30557;30557;-1;-1
Quem projetou a Ponte do Brooklin?;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;1254;-1;1254;1254;1254;-1;1254;1254;1254;-1;-1
Quando Boris Becker encerrou sua carreira?;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;12773;-1;12773;12773;12773;-1;12773;12773;12773;-1;-1
Que tipos de uvas crescem no Oregon?;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;29999;-1;29999;29999;29999;-1;-1;29999;29999;-1;-1
Qual a altura de Michael Jordan?;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;20453;-1;20453;20453;20453;-1;20453;20453;20453;-1;-1
A que partido o prefeito de Paris pertence?;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;33806;-1;-1;33806;33806;-1;-1;33806;33806;-1;-1
Quem escreveu o livro Os Pilares da Terra?;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;-1;10053;10053;10053;-1;10053;10053;10053;-1;10053
Quem foi o 16o presidente dos Estados Unidos?;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;37136;-1;-1;37136;37136;-1;-1;37136;37136;-1;-1
Qual a altura do Monte Everest?;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;20467;-1;20467;20467;20467;-1;20467;20467;20467;-1;-1
Quem foi o orientador do doutorado de Albert Einstein?;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;14739;-1;-1;14739;14739;-1;-1;14739;14739;-1;-1
Em que cidade Sylvester Stallone mora?;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;914;-1;914;914;914;-1;-1;914;914;-1;-1
Qual a moeda da República Tcheca?;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;16933;-1;16933;16933;16933;-1;16933;16933;16933;-1;-1
Sócrates influenciou Aristóteles?;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159;-1;3159;3159;3159;-1;3159;3159;3159;-1;3159
Qual o fuso horário de Salt Lake City?;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;1923;-1;-1;1923;1923;-1;-1;1923;1923;-1;-1
Quem é o filho de Sonny e Cher?;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;27933;-1;27933;27933;27933;-1;27933;27933;27933;-1;-1
Em que cidade está a sede das Nações Unidas?;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;29816;-1;29816;29816;29816;-1;-1;29816;29816;-1;-1
Quem é o fundador da Penquin Books?;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;14291;-1;14291;14291;14291;-1;-1;14291;14291;-1;-1
Quando foi fundada a Jack Wolfskin?;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;5377;-1;5377;5377;5377;-1;-1;5377;5377;-1;-1
Quem é o prefeito de Rotterdam?;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;20342;-1;-1;20342;20342;-1;-1;20342;20342;-1;-1
Liste todos os oceanógrafos suecos.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre-me a autobiografia de Hemingway.;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;-1;2608;2608;2608;-1;2608;2608;2608;-1;-1
Quem são os pais da esposa de Juan Carlos I?;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;21515;-1;21515;21515;21515;-1;-1;21515;21515;-1;-1
Tesla ganhou um Prêmio Nobel de Física?;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;-1;388;388;388;-1;388;388;388;-1;388
Quem é o jogador de basquete mais alto?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual cidade tem menos habitantes?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
