;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;6;-1;-1;-1;-1;30;7;-1;-1;-1;-1;49;8;-1;-1;-1;-1;74;11;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;14;-1;-1;-1;-1;75;22;-1;-1;-1;-1;-1;25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;9;6;-1;-1;-1;-1;29;6;-1;-1;-1;-1;49;15;-1;-1;-1;-1;74;40;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que cientista da computação ganhou um Oscar?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;27;27;-1;-1;-1;-1;47;47;-1;-1;-1;-1;70;70;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas empresas foram fundadas no mesmo ano que o Google?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;5;-1;-1;-1;-1;30;7;-1;-1;-1;-1;50;8;-1;-1;-1;-1;75;12;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade da Inglaterra está a sede do MI6?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;36;-1;-1;-1;-1;75;11;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;48;48;-1;-1;-1;-1;71;71;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual o significado de IYCM?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;29;29;-1;-1;-1;-1;49;49;-1;-1;-1;-1;74;74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando a Dinastia Ming acabou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;49;49;-1;-1;-1;-1;73;73;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;5;-1;-1;-1;-1;30;10;-1;-1;-1;-1;50;12;-1;-1;-1;-1;75;12;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país está o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;29;29;-1;-1;-1;-1;49;49;-1;-1;-1;-1;74;74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é a maior cidade da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;7;-1;-1;-1;-1;30;13;-1;-1;-1;-1;50;27;-1;-1;-1;-1;75;15;-1;-1;-1;-1;-1;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;16;-1;-1;-1;-1;75;22;-1;-1;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Tel Aviv?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;49;49;-1;-1;-1;-1;73;73;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;5;-1;-1;-1;-1;30;10;-1;-1;-1;-1;50;12;-1;-1;-1;-1;75;12;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou Batman?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;8;-1;-1;-1;-1;30;19;-1;-1;-1;-1;50;21;-1;-1;-1;-1;75;21;-1;-1;-1;-1;-1;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem interpretou Gus Fring em Breaking Bad?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que linguagem de programação foi escrito o GIMP?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;49;49;-1;-1;-1;-1;73;73;-1;-1;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que império antigo você poderia pagar com grãos de cacau?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a capital da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quais surfistas profissionais nasceram na Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que companhias de eletrônica foram fundadas em Beijing?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;6;-1;-1;-1;-1;30;8;-1;-1;-1;-1;50;10;-1;-1;-1;-1;75;11;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre todos os jogos da Mean Hamster Software.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas lojas Aldi existem?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;29;29;-1;-1;-1;-1;49;49;-1;-1;-1;-1;74;74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a capital de Camarões?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Há algum jogo eletrônico chamado Battle Chess?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;29;29;-1;-1;-1;-1;48;35;-1;-1;-1;-1;73;31;-1;-1;-1;-1;-1;36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A esposa do Presidente Lincoln chamava-se Mary?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;9;-1;-1;-1;-1;30;17;-1;-1;-1;-1;50;18;-1;-1;-1;-1;75;19;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Encontre todos os filmes dirigidos por Francis Ford Coppola.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;0;-1;-1;-1;-1;30;9;-1;-1;-1;-1;50;13;-1;-1;-1;-1;75;17;-1;-1;-1;-1;-1;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual filme de Tim Burton teve o maior orçamento?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;8;-1;-1;-1;-1;30;26;-1;-1;-1;-1;50;46;-1;-1;-1;-1;74;71;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Breaking Bad tem mais episódios do que Game of Thrones?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;6;-1;-1;-1;-1;30;20;-1;-1;-1;-1;50;21;-1;-1;-1;-1;75;46;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem era chamado de Rodzilla?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Natalie Portman nasceu nos Estados Unidos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;9;-1;-1;-1;-1;30;15;-1;-1;-1;-1;50;19;-1;-1;-1;-1;75;44;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre os netos de Elvis Presley.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;6;-1;-1;-1;-1;30;11;-1;-1;-1;-1;50;12;-1;-1;-1;-1;75;13;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando morreu o criador de Drácula?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que país vem o criador de Miffy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;8;-1;-1;-1;-1;50;26;-1;-1;-1;-1;75;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é o nome verdadeiro do Batman?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;18;-1;-1;-1;-1;50;38;-1;-1;-1;-1;75;63;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que forma de governo a Rússia possui?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas companhias foram fundadas pelo fundador do Facebook?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;8;-1;-1;-1;-1;30;9;-1;-1;-1;-1;50;10;-1;-1;-1;-1;75;10;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todas as gravadoras canadenses de música Grunge.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;9;-1;-1;-1;-1;30;29;-1;-1;-1;-1;50;49;-1;-1;-1;-1;75;74;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos filhos Benjamim Franklin teve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que região é o Melon de Bourgogne?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é o filho mais velho de Meryl Streep?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;75;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
As rãs arborícolas são um tipo de anfíbio?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Velvet Goldmine?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;10;10;-1;-1;-1;-1;30;30;-1;-1;-1;-1;50;50;-1;-1;-1;-1;73;73;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os jogos da GMT.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;9;9;-1;-1;-1;-1;29;29;-1;-1;-1;-1;48;48;-1;-1;-1;-1;73;73;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Isar desemboca em um lago?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;9;9;-1;-1;-1;-1;29;29;-1;-1;-1;-1;48;48;-1;-1;-1;-1;73;28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
