;base;base;base;base;base;base;base;base;base;base;base;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
Mostre todos os jogos da Mean Hamster Software.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;20;40;64;89;130;180;280;-1;-1;-1;5;20;40;64;-1;-1;-1;-1;-1;-1;-1
Quantas lojas Aldi existem?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;90;90;90;90;90;90;90;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;57;57;57;57;57;57;57;57;10;29;49;57;-1;-1;-1;-1;-1;-1;-1
Qual a capital de Camarões?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;28;48;73;79;79;79;79;79;79;79;8;28;48;73;-1;-1;-1;-1;-1;-1;-1
Há algum jogo eletrônico chamado Battle Chess?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;48;73;98;148;198;298;-1;-1;-1;10;29;48;73;-1;-1;-1;-1;-1;-1;-1;5;10;21;30;30;30;30;30;30;30;30;5;10;21;30;30;-1;-1;-1;-1;-1;-1
A esposa do Presidente Lincoln chamava-se Mary?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;15;29;49;49;55;55;55;55;59;71;6;15;29;49;49;-1;-1;-1;-1;-1;-1
Encontre todos os filmes dirigidos por Francis Ford Coppola.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;0;11;31;56;81;131;182;282;301;-1;-1;0;11;31;56;81;-1;-1;-1;-1;-1;-1
Qual filme de Tim Burton teve o maior orçamento?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;198;298;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;8;16;28;53;78;100;100;107;108;119;-1;8;16;28;53;-1;-1;-1;-1;-1;-1;-1
Breaking Bad tem mais episódios do que Game of Thrones?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;20;40;65;90;136;174;263;-1;-1;-1;6;20;40;65;-1;-1;-1;-1;-1;-1;-1
Quem era chamado de Rodzilla?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;3;9;27;47;57;71;71;75;75;75;-1;3;9;27;47;-1;-1;-1;-1;-1;-1;-1
Natalie Portman nasceu nos Estados Unidos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;15;15;15;15;44;94;97;97;97;-1;4;15;15;15;-1;-1;-1;-1;-1;-1;-1
Mostre os netos de Elvis Presley.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;148;196;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;148;198;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;13;14;20;27;58;84;99;104;113;-1;6;13;14;20;27;-1;-1;-1;-1;-1;-1
Quando morreu o criador de Drácula?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;28;48;73;98;147;153;157;158;164;-1;8;28;48;73;-1;-1;-1;-1;-1;-1;-1
De que país vem o criador de Miffy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;15;15;15;15;15;15;78;116;138;-1;10;15;15;15;-1;-1;-1;-1;-1;-1;-1
Qual é o nome verdadeiro do Batman?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;14;34;59;81;125;133;133;133;133;-1;10;14;34;59;-1;-1;-1;-1;-1;-1;-1
Que forma de governo a Rússia possui?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;24;43;65;88;131;174;272;-1;-1;-1;8;24;43;65;-1;-1;-1;-1;-1;-1;-1
Quantas companhias foram fundadas pelo fundador do Facebook?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;9;11;11;16;18;21;39;138;179;-1;7;9;11;11;16;18;-1;-1;-1;-1;-1
Liste todas as gravadoras canadenses de música Grunge.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;11;31;56;81;131;181;281;-1;-1;-1;7;11;31;56;-1;-1;-1;-1;-1;-1;-1
Quantos filhos Benjamim Franklin teve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;168;168;168;168;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
De que região é o Melon de Bourgogne?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Qual é o filho mais velho de Meryl Streep?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;199;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;99;149;199;267;270;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
As rãs arborícolas são um tipo de anfíbio?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Velvet Goldmine?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;73;98;148;196;296;-1;-1;-1;10;30;50;73;-1;-1;-1;-1;-1;-1;-1;5;20;40;65;90;140;190;196;225;225;225;5;20;40;65;-1;-1;-1;-1;-1;-1;-1
Liste todos os jogos da GMT.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;48;73;98;148;156;216;315;-1;-1;9;29;48;73;-1;-1;-1;-1;-1;-1;-1;9;28;40;40;41;74;124;160;160;160;-1;9;28;40;40;-1;-1;-1;-1;-1;-1;-1
O Isar desemboca em um lago?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;48;73;98;148;198;298;-1;-1;-1;9;29;48;73;-1;-1;-1;-1;-1;-1;-1;9;29;42;42;45;45;45;45;45;45;45;9;29;42;42;-1;-1;-1;-1;-1;-1;-1
Que aeroportos a Yeti Airlines serve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;191;291;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;4;25;45;69;94;143;186;238;256;-1;-1;4;25;45;69;-1;-1;-1;-1;-1;-1;-1
Que empresa indiana tem o maior número de empregados?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que cor expressa a lealdade?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a cidade com maior população?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou a Wikipedia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;149;199;299;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;8;13;13;27;52;101;151;251;-1;-1;-1;8;13;13;27;-1;-1;-1;-1;-1;-1;-1
Rita Wilson é a esposa de Tom Hanks?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;99;148;195;284;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
A esposa do presidente Obama chama-se Michelle?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;10;21;46;71;121;171;234;236;-1;-1;5;10;21;46;-1;-1;-1;-1;-1;-1;-1
Quantos grupos étnicos vivem na Eslovênia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;10;14;23;34;48;68;101;123;134;-1;6;10;14;23;34;-1;-1;-1;-1;-1;-1
Quem é o presidente da Eritrea?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;199;290;290;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Que filmes Stanley Kubrick dirigiu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;198;298;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;10;12;15;18;20;20;22;76;116;116;-1;10;12;15;18;20;-1;-1;-1;-1;-1;-1
Quando o Titanic foi completado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;99;149;198;213;213;213;213;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;74;99;149;196;205;207;207;207;10;30;49;74;-1;-1;-1;-1;-1;-1;-1
Quantas páginas tem Guerra e Paz?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;28;48;73;98;148;197;297;-1;-1;-1;8;28;48;73;-1;-1;-1;-1;-1;-1;-1
Quem é o jogador mais jovem da Premier League?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;107;108;108;108;108;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Qual a montanha mais alta da Itália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;149;197;295;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;5;23;43;68;93;142;142;144;144;145;-1;5;23;43;68;93;-1;-1;-1;-1;-1;-1
Qual a altura de Claudia Schiffer?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;48;73;97;147;197;297;-1;-1;-1;9;29;48;73;-1;-1;-1;-1;-1;-1;-1;9;29;48;56;57;59;62;67;71;77;80;9;29;48;56;-1;-1;-1;-1;-1;-1;-1
Quem foi o vice presidente de John F. Kennedy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;13;26;33;46;76;104;161;191;191;-1;5;13;26;33;-1;-1;-1;-1;-1;-1;-1
Que subsidiária da Lufthansa atende Dortmund e Berlin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;30;36;49;65;104;127;223;-1;-1;-1;8;30;36;49;-1;-1;-1;-1;-1;-1;-1
Quem foi o sucessor de John F. Kennedy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;9;12;17;21;35;45;70;72;80;-1;5;9;12;17;-1;-1;-1;-1;-1;-1;-1
Quem compôs a trilha sonora do Titanic de Cameron?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;28;47;71;96;146;196;296;-1;-1;-1;9;28;47;71;-1;-1;-1;-1;-1;-1;-1;7;26;44;61;61;82;131;215;222;-1;-1;7;26;44;61;-1;-1;-1;-1;-1;-1;-1
Quais filmes Kurosawa dirigiu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;48;73;98;148;198;298;-1;-1;-1;10;29;48;73;-1;-1;-1;-1;-1;-1;-1;4;19;26;31;35;35;35;50;50;50;-1;4;19;26;31;35;-1;-1;-1;-1;-1;-1
Para qual gravadora Elvis gravou seu primeiro álbum?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;11;13;21;21;29;38;53;70;72;-1;5;11;13;21;21;29;-1;-1;-1;-1;-1
Em que fuso horário está Roma?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;29;49;72;97;147;197;297;-1;-1;-1;10;29;49;72;-1;-1;-1;-1;-1;-1;-1
Qual a moeda da China?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;99;149;199;299;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
Quem são os desenvolvedores do DBPedia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;72;97;147;197;297;-1;-1;-1;10;30;49;72;-1;-1;-1;-1;-1;-1;-1;9;29;48;51;52;52;52;52;52;52;52;9;29;48;51;-1;-1;-1;-1;-1;-1;-1
O local onde Abraham Lincoln morreu tem um website?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;147;179;180;183;183;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quem é o rei da Holanda?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;73;98;147;197;297;-1;-1;-1;10;30;50;73;-1;-1;-1;-1;-1;-1;-1;5;18;38;53;69;98;115;115;115;120;-1;5;18;38;53;-1;-1;-1;-1;-1;-1;-1
Em que cidade Nikos Kazantzakis morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;372;372;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;13;22;36;49;66;92;132;150;161;189;7;13;22;36;-1;-1;-1;-1;-1;-1;-1
Quem foi o pai da Rainha Elizabeth II?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;27;47;72;97;147;197;297;-1;-1;-1;10;27;47;72;-1;-1;-1;-1;-1;-1;-1;10;11;11;11;11;42;63;77;100;131;-1;10;11;11;11;-1;-1;-1;-1;-1;-1;-1
Liste todas as aves que correm perigo de extinção.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a maior cidade do Canadá?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;16;32;57;82;132;182;282;-1;-1;-1;6;16;32;57;-1;-1;-1;-1;-1;-1;-1
De quais conflitos militares Lawrence da Arábia participou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;3;3;13;15;15;15;15;36;125;154;-1;3;3;13;15;15;-1;-1;-1;-1;-1;-1
Qual o livro com maior número de páginas?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Nilo?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;73;98;148;198;298;-1;-1;-1;9;29;49;73;-1;-1;-1;-1;-1;-1;-1;9;28;48;50;50;50;50;64;64;64;64;9;28;48;50;50;-1;-1;-1;-1;-1;-1
Quem é o piloto de Fórmula 1 com mais corridas?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;48;71;96;145;192;291;-1;-1;-1;9;29;48;71;-1;-1;-1;-1;-1;-1;-1;7;10;22;32;44;88;93;100;105;141;-1;7;10;22;32;44;-1;-1;-1;-1;-1;-1
Que companhias produzem aerodeslizadores?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Elvis Presley teve filhos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Em que cidade o presidente de Montenegro nasceu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;17;30;30;33;33;33;72;172;-1;-1;9;17;30;30;33;-1;-1;-1;-1;-1;-1
Em que país Bill Gates nasceu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;148;198;298;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;99;141;141;142;142;142;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Em que país se fala japonês?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre me o livro que Muhammad Ali escreveu.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;120;120;120;120;120;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Michelle Obama é a esposa de Barack Obama?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;199;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;99;148;198;227;229;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Qual é o código de área de Berlin?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;10;18;43;68;118;168;268;-1;-1;-1;7;10;18;43;-1;-1;-1;-1;-1;-1;-1
Liste todos os atores que atuaram em Last Action Hero.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;25;97;175;295;-1;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1
Quais são os apelidos de San Francisco?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;149;199;299;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;9;9;9;13;27;28;49;80;111;157;-1;9;9;9;13;-1;-1;-1;-1;-1;-1;-1
Qual foi o primeiro álbum do Queen?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;10;22;47;72;116;142;153;178;-1;-1;6;10;22;47;-1;-1;-1;-1;-1;-1;-1
Por quais países o rio Yenisei passa?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;148;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;74;85;85;85;85;85;85;-1;10;30;49;74;85;-1;-1;-1;-1;-1;-1
Quais séries de televisão foram criadas por Walt Disney?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;9;9;17;42;91;140;166;166;166;-1;9;9;9;17;-1;-1;-1;-1;-1;-1;-1
Qual a ponte mais comprida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que país é a Sitecore;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;18;18;20;35;48;56;145;201;204;-1;4;18;18;20;-1;-1;-1;-1;-1;-1;-1
Com quem Lance Bass casou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;91;91;91;91;91;91;-1;10;30;50;75;91;-1;-1;-1;-1;-1;-1
Qual a capital do Canadá?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Em quem Vincent van Gogh inspirou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;48;72;94;94;94;94;94;94;94;9;29;48;72;-1;-1;-1;-1;-1;-1;-1;9;29;48;72;87;87;87;87;87;87;87;9;29;48;72;-1;-1;-1;-1;-1;-1;-1
Em que cidade John F. Kennedy morreu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;365;365;365;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;12;21;32;48;69;87;130;145;154;184;6;12;21;32;-1;-1;-1;-1;-1;-1;-1
